"agreement","annotation_id","annotator","created_at","id","lead_time","sentiment","text","updated_at"
100.0,35301192,"20111","2024-04-25T20:21:46.852343Z","4bv7ubalseo",7.233,"belief","this explains why the market appears to think there's a 1% chance that something that doesn't exist will be convertible into mana.","2024-04-25T20:21:46.852360Z"
100.0,35301199,"20111","2024-04-25T20:21:54.731325Z","av8prnkqgak",7.149,"non-belief","This actually wasn't a duplicate and is materially different from ""redeemable for money.""","2024-04-25T20:21:54.731343Z"
100.0,35301210,"20111","2024-04-25T20:22:06.677843Z","lp6xloon7w",11.304,"non-belief","This market isn't exactly the same, but I'm surprised by how large the gap is at the moment: [Metaculus] Will Iran carry out a deadly attack within Israel before May 1, 2024? | Manifold","2024-04-25T20:22:06.677859Z"
100.0,35301217,"20111","2024-04-25T20:22:15.681869Z","yyog9l0o3gj",8.411,"non-belief","but these markets are different?","2024-04-25T20:22:15.681890Z"
100.0,35301223,"20111","2024-04-25T20:22:31.352178Z","k5vrvchbsdg",14.617,"non-belief","Nah i was first in line and yall wanna use the other dude's","2024-04-25T20:22:31.352201Z"
100.0,35301228,"20111","2024-04-25T20:22:37.247891Z","vcp4iwumxo",5.288,"non-belief","rudy pump ts please","2024-04-25T20:22:37.247908Z"
100.0,35301231,"20111","2024-04-25T20:22:44.160717Z","gm8pyuysnsw",6.057,"non-belief","KC2X Everyone BUY.","2024-04-25T20:22:44.160739Z"
100.0,35301244,"20111","2024-04-25T20:23:02.831362Z","b9fgw1oybf",17.975,"non-belief","Taking too much acetaminophen (Tylenol, others) is the most common cause of acute liver failure in the United States .","2024-04-25T20:23:02.831378Z"
100.0,35301253,"20111","2024-04-25T20:23:10.941755Z","dc9s5iz2u8",7.43,"non-belief","Can I link to this in discord? Or would you rather keep it here","2024-04-25T20:23:10.941771Z"
100.0,35301262,"20111","2024-04-25T20:23:41.813514Z","nzy6yl4wg3",30.266,"non-belief","5k no limit order 50% expires in 4h","2024-04-25T20:23:41.813530Z"
100.0,35301351,"20111","2024-04-25T20:26:04.233342Z","7z0ursohdin",145.43099999999998,"belief","i hope this is him all week","2024-04-26T16:20:19.084144Z"
100.0,35301362,"20111","2024-04-25T20:26:15.937136Z","wwmvsmuymv",11.046,"non-belief","Thanks for asking questions to improve the quality of the new markets! The close date is currently set as April21 - but bc a lot of these markets are from new users it'd be nice to get explicit clarification","2024-04-25T20:26:15.937161Z"
100.0,35301364,"20111","2024-04-25T20:26:19.200634Z","yei6kav6yw",2.662,"non-belief","If we change the last bit to ""Result: everyone is in despair"" then it becomes a poem lol","2024-04-25T20:26:19.200653Z"
100.0,35301367,"20111","2024-04-25T20:26:22.170258Z","kgkdqkk3woi",2.342,"non-belief","There being so many cicadas that we ourselves turn out to have been a cicada Boltzmann brain in retrospect, because of anthropics.","2024-04-25T20:26:22.170274Z"
100.0,35301372,"20111","2024-04-25T20:26:27.250952Z","u0n0gw5mms",4.416,"non-belief","we should use the odds of the nothing option to determine a market about whether Manifold has a sense of humour lol","2024-04-25T20:26:27.250973Z"
100.0,35301377,"20111","2024-04-25T20:26:30.536001Z","9xr17nikb7a",2.584,"non-belief","How many will win?","2024-04-25T20:26:30.536020Z"
100.0,35301386,"20111","2024-04-25T20:26:48.179316Z","93j3sl5172g",16.987,"belief","which category/genre? suno is decent in many but sucks in hiphop","2024-04-25T20:26:48.179339Z"
100.0,35301391,"20111","2024-04-25T20:27:03.847755Z","ci6v7sj7sch",15.049,"non-belief","Some relevant articles: Circa 2021:  Elon Musk called lidar a crutch, but now Tesla is reportedly testing Luminars laser sensors Tesla Vision Update: Replacing Ultrasonic Sensors with Tesla Vision Lidar vs. Tesla: the race for fully self driving cars","2024-04-25T20:27:03.847773Z"
100.0,35301395,"20111","2024-04-25T20:27:07.191954Z","86vet8ht203",2.693,"belief","Becoming VP is actually harder for most demographics than POTUS because you have to be chosen to be VP and cant run for it. Especially if they come from a safe state like California.","2024-04-25T20:27:07.191972Z"
100.0,35301398,"20111","2024-04-25T20:27:10.856934Z","rx3x3ywacda",2.976,"non-belief","Two people, two states.","2024-04-25T20:27:10.856954Z"
100.0,35301401,"20111","2024-04-25T20:27:16.320134Z","9xa4knzpljd",4.77,"non-belief","A question directly involving China instead of this market in the feed would be less annoying to see?","2024-04-25T20:27:16.320151Z"
100.0,35301403,"20111","2024-04-25T20:27:27.200022Z","tq8r2t3zrvq",10.195,"non-belief","Huh not sure how I read this one incorrectly","2024-04-25T20:27:27.200040Z"
100.0,35301405,"20111","2024-04-25T20:27:31.002647Z","lp5pdb1wrbi",3.114,"belief","Most popes have been from Europe. Yet, the percentage of Catholics being born in Europe is decreasing at an astronomical rate. The great theologians, writers and leaders of the future are very unlikely to be mostly European. The only way you can viably believe that the leadership of the Church will stay predominantly European is if you think the church will appease its European minority. I think this is unlikely because the buying power of Africa and Asia will likely be more than Europe in the near future. Moreover, with Vatican II and the current papacies subtle pushes against traditionalism (i.e restrictions on TLM) its clear that already the largely European Vatican is perfectly willing to annoy a loud western minority for the sake of the larger Church.","2024-04-25T20:27:31.002665Z"
100.0,35301408,"20111","2024-04-25T20:27:33.954562Z","7nj98fe9d8o",2.33,"non-belief","ok maybe ill just NA","2024-04-25T20:27:33.954580Z"
100.0,35301450,"20111","2024-04-25T20:29:33.216576Z","3zqp56at5ao",118.627,"non-belief","I'm just trying to figure out the definition of the thing whose development we are trying to predict.","2024-04-25T20:29:33.216598Z"
100.0,35301452,"20111","2024-04-25T20:29:36.040235Z","p80eye1xqo",2.136,"non-belief","Can you clarify why not? Is it because it is not designed for principal use as a weapon, or some other reason?","2024-04-25T20:29:36.040253Z"
100.0,35301454,"20111","2024-04-25T20:29:39.258309Z","q69s941sn0g",2.533,"non-belief","I bought NO initially and then forgot to sell after tuning in and seeing your rollout frequency.","2024-04-25T20:29:39.258330Z"
100.0,35301455,"20111","2024-04-25T20:29:43.877410Z","7nl9sbdvhh6",3.85,"belief","I'd play you but it'd be 400 ping and we'd be teleporting all over the place, plus it would just mean I'm more likely to bankrupt you lol","2024-04-25T20:29:43.877432Z"
100.0,35301458,"20111","2024-04-25T20:29:48.607716Z","3ed7xwng7p6",3.913,"non-belief","1v1 no items fd lets go. maybe this weekend","2024-04-25T20:29:48.607735Z"
100.0,35301468,"20111","2024-04-25T20:30:03.727115Z","XMRcWDVw9LGcRBogUUUU",14.473,"non-belief","ops, did it twice by mistake. the script will adjust in some days.","2024-04-25T20:30:03.727130Z"
100.0,35301475,"20111","2024-04-25T20:30:09.116210Z","MSuhkvrSczmwAQsJYQvi",48.856,"non-belief","In participating in this market, implicit risks are naturally present for those betting 'NO', including the possibility that I may run out of money or choose not to buy more stakes. However, these factors do not influence the resolution criteria, which will remain based on the predefined conditions about an AI's involvement on an S&P500 board. To all 'NO' bettors, rest assured that this market has been a source of amusement for me. Until recently, the primary source of funding for the market mana has been the daily streak bonus. However, API bets no longer yield this bonus. Although I find this market entertaining, I will not be betting real money on it. Nevertheless, I am committed to keeping my promise and ensuring that this market remains operational. To this end, I'm currently working on setting up an automatic mana flow system. By creating soccer markets, I aim to generate a steady stream of mana to keep this market running as long as possible.","2024-04-26T16:21:05.870962Z"
100.0,35301479,"20111","2024-04-25T20:30:12.503700Z","jJTwpiiYutplj0UW1uXK",2.696,"non-belief","Relevant: AmjadGPT ( [URL] ) - built to mimic the CEO of Replit","2024-04-25T20:30:12.503717Z"
100.0,35301485,"20111","2024-04-25T20:30:24.333068Z","hCJDYMUaigleu6jBUETy",11.232,"belief","Not that it really affected my betting, but based on the text, I assumed you'd keep it open and keep betting NO until it happened, even if it became clear that it wasn't going to happen.","2024-04-25T20:30:24.333084Z"
100.0,35301488,"20111","2024-04-25T20:30:29.188388Z","5iLgMIjNA2DOxn9XQgkb",110.18900000000001,"non-belief","I'm not incentivized to explain my strategy","2024-04-26T16:22:56.434007Z"
100.0,35301497,"20111","2024-04-25T20:30:42.116743Z","dpQuHKp0ov4uwqB7PqZ9",12.19,"belief","yeah I'm thinking about this a lot so may up adding tons","2024-04-25T20:30:42.116761Z"
100.0,35301499,"20111","2024-04-25T20:30:45.772829Z","g125zbooeaa",2.96,"non-belief","If you do a monkey dance, I'll give you a loonie.","2024-04-25T20:30:45.772844Z"
100.0,35301500,"20111","2024-04-25T20:30:49.274429Z","q6wy7dggx3a",2.851,"non-belief","Mr. OP! Hokuseih is officially retired, plz resolve.  [URL]","2024-04-25T20:30:49.274454Z"
100.0,35301503,"20111","2024-04-25T20:30:54.527087Z","4pv5mntk9rh",53.798,"non-belief","Cant do a photo right now, but the boys looking real unique.","2024-04-26T16:23:47.901221Z"
100.0,35301506,"20111","2024-04-25T20:31:00.012376Z","sxo0avzuin",4.764,"non-belief","Naurrrr. Sorry to disappoint. I think he'll return though","2024-04-25T20:31:00.012395Z"
100.0,35301508,"20111","2024-04-25T20:31:03.405592Z","0pp53havly",2.765,"belief","always a wise choice","2024-04-25T20:31:03.405613Z"
100.0,35301511,"20111","2024-04-25T20:31:16.687366Z","yzok3ig0z",12.504,"non-belief","Glad you asked. This bad boy is shining at the plant, giving it some much needed strength","2024-04-25T20:31:16.687381Z"
100.0,35301513,"20111","2024-04-25T20:31:21.670686Z","c4bz9i4epco",3.825,"non-belief","if you do go the lamp route. You don't need anything special, just a normal bedside lamp will be helpful. Do take care if it's an incandescent bulb don't out it too close to the plant or it might burn.","2024-04-25T20:31:21.670719Z"
100.0,35301514,"20111","2024-04-25T20:31:25.183168Z","kxisx7r1si",2.92,"non-belief","he needs to recover. give him time and maybe consider this  [URL]","2024-04-25T20:31:25.183185Z"
100.0,35301515,"20111","2024-04-25T20:31:28.256049Z","7SpOJJaCrHMgMsfqulX5",2.443,"non-belief","(the  apartment market  primed me for not trusting  's stupid face)","2024-04-25T20:31:28.256073Z"
100.0,35301519,"20111","2024-04-25T20:31:38.691945Z","c7rhBUJWYMH2QlanwQVg",9.77,"belief","mr. Basils final stand. If that strand in the good pot stays alive for like a week I will try the trick of taking some leaves and putting them in water so they gain roots and they can be planted too. And then if I have like 3-4 strands that blossom by march that could still resolve the market YES. But that might be a long shot","2024-04-25T20:31:38.691962Z"
100.0,35301522,"20111","2024-04-25T20:31:41.564594Z","xV2WKYxq8sGRpn5Y5dRW",29.918,"belief","One strand left. I kept the bad pot for too long and drowned the plant in that pot. I keep some hope but maybe you shouldnt, idk","2024-04-26T16:24:18.969347Z"
100.0,35301524,"20111","2024-04-25T20:31:44.275626Z","oeWviAATG6pbgCKLE6zi",2.131,"non-belief","Sitting in the apartment right now, its not looking good","2024-04-25T20:31:44.275643Z"
100.0,35301529,"20111","2024-04-25T20:32:00.115582Z","PsmCD2cU5MIEHP74Vk0u",15.192,"non-belief","There's still plenty of time for it to look worse.","2024-04-25T20:32:00.115603Z"
100.0,35301533,"20111","2024-04-25T20:32:04.569436Z","9bgH1yCMX3fYNpBh2kWK",3.829,"non-belief","a lot yes","2024-04-25T20:32:04.569467Z"
100.0,35301535,"20111","2024-04-25T20:32:12.567299Z","ztdMzNwHdRcnewyzX1Wn",7.287,"belief","don't use random gravel you gather from the street, or if you must, make sure you wash it well before using it. The gravel in the pot thing is  mostly a myth  anyway, so don't worry about it too much. I think the lack of a drainage hole is actually pretty bad, it will make water gather at the bottom of the pot and it will make the roots rot. If the pot is plastic, you could poke a few holes in it using a nail or a screwdriver or something. The important thing is to let excess water out. ""Thin sand"" does not sound encouraging either, it may be capturing too much water, and again, the basil plant will not like it. Maybe you can mix some of the old dirt and the new and have a middle ground.","2024-04-25T20:32:12.567316Z"
100.0,35301537,"20111","2024-04-25T20:32:15.102027Z","ik6vzjqct9",1.827,"non-belief","How does the dividend work?","2024-04-25T20:32:15.102044Z"
100.0,35301538,"20111","2024-04-25T20:32:17.688095Z","ma2gritzl6",1.972,"non-belief","Wait what's your YouTube channel?","2024-04-25T20:32:17.688118Z"
100.0,35301542,"20111","2024-04-25T20:32:23.799024Z","4u2zgwuas8t",5.029,"non-belief","hm looks like that bunny retired after the Trump era? or did something more scandalous happen? that's the same Obama bunny (and they seemed to have a pretty cozy relationship!)","2024-04-25T20:32:23.799040Z"
100.0,35301548,"20111","2024-04-25T20:32:31.624134Z","kvjjsp7y4wb",7.084,"non-belief","For informed betting, there is a image.jxl.enabled option in Firefox that when enabled on FF Nightly, does add support JXL rendering.","2024-04-25T20:32:31.624154Z"
100.0,35301551,"20111","2024-04-25T20:32:35.059115Z","umzghea2uui",2.389,"belief","I don't think so, actually, what state actors are known to be interested in is mechanisms for single targeted attacks right now (think Pegasus, Stuxnet) and vast access to large amounts of data (general NSA scope of work), this kind of general backdoor that will be found sooner or later, especially if they actually use it, doesn't seem to fit nicely into this. Plus in most uses an existing tool like Pegasus would be simpler and way more reliable. And it's not just sloppiness, it's sloppiness that is avoided by structure and organizational knowledge, by having other people to consult on what you're doing. Look at Stuxnet, infected billions of computers, carried out the task and only got detected because of a literally one in a billion accident, not hanging SSH for half a second.","2024-04-25T20:32:35.059133Z"
100.0,35301553,"20111","2024-04-25T20:32:38.064266Z","3ey74s724wm",2.341,"non-belief","Typo in title.","2024-04-25T20:32:38.064286Z"
100.0,35301557,"20111","2024-04-25T20:32:44.362510Z","dmy4g5ccdz5",5.485,"non-belief","I didn't realise that it will make an ""Other"" category. This will resolve ""Other"" if the repository is still not reinstated after the end date, which I have moved to the end of the year.","2024-04-25T20:32:44.362530Z"
100.0,35301566,"20111","2024-04-25T20:32:58.352765Z","tyombdiywlk",13.302,"belief","I could see someone like  Bellingcat  figuring out who was behind it, but doubtful about them actually being found guilty. It's like the US attributing a hack to an individual that lives in Russia","2024-04-25T20:32:58.352782Z"
100.0,35301568,"20111","2024-04-25T20:33:01.969630Z","huxqap5ho4t",2.879,"non-belief","Who do you think will win?","2024-04-25T20:33:01.969656Z"
100.0,35301573,"20111","2024-04-25T20:33:16.643722Z","ipm03wwwzpa",13.987,"non-belief","Hey all!  Thank for your interest. I ran one of these for an earlier match and it was okay, but there were some clarifications/learnings from it which meant some of my initial entries in the ""happenings"" weren't actually well-defined.  I implemented code for a ton of them which is here:  [URL] In the event of contradictions / complications, first option will just be NA for ones that aren't recoverable. For other cases, if you want to invest a ton and it hasn't been sure, you can take a look at the code cause that's the true definition in general for what we'll resolve with. That said, if there are bugs in the code obviously I'll fix them, we're not committed to bugs. And also keep in mind that the lib I'm using had tons of built-in bugs (which I've tried to fix) and also I've tried to test, but it's not perfect. Still, this could be super fun! Thanks guys. repo is open for PRs too =)","2024-04-25T20:33:16.643744Z"
100.0,35301574,"20111","2024-04-25T20:33:19.522879Z","bbg8zqltnis",2.256,"non-belief","This market is for the championship not candidates?","2024-04-25T20:33:19.522895Z"
100.0,35301576,"20111","2024-04-25T20:33:22.791369Z","LZAJl2wiKziL9sF4hQAp",2.506,"non-belief","FYI definition changed here, will return bets if needed","2024-04-25T20:33:22.791385Z"
100.0,35301580,"20111","2024-04-25T20:33:27.360387Z","qEYs5ODhWnbNJae15XYD",3.694,"non-belief","Okay, here it is - the duplicated version for Ding's games during Tata Steel. Let's see what'll happen!  [URL] In order to evaluate this, I'm almost definitely going to have to write a bit of code.  If so I'll share it out.","2024-04-25T20:33:27.360407Z"
100.0,35301581,"20111","2024-04-25T20:33:30.971753Z","IDh8vG7fNIh6RSRTjROZ",2.905,"non-belief","Is this supposed to say -10% for every white win?","2024-04-25T20:33:30.971774Z"
100.0,35301583,"20111","2024-04-25T20:33:36.847635Z","L42AHO9i5RmWZcJfxsoJ",5.193,"non-belief","thanks. Yeah this is the ultimate dream. I already watch all the world championship review videos. Now I can randomly also bet on them","2024-04-25T20:33:36.847653Z"
100.0,35301592,"20111","2024-04-25T20:33:49.770854Z","3OJEu50L2l2cRIjYTkfz",6.321,"non-belief","The time period specified in the description is for candidates not world chess championship","2024-04-25T20:33:49.770882Z"
100.0,35301596,"20111","2024-04-25T20:33:56.486787Z","8yl6579qcsk",5.932,"belief","This piece makes me think  Agnes Martin  meets  Hilma af Klint . Composition is excellent. Definitely not an amateur, speaking as a fairly serious amateur painter. It would be cool to know the full prompt so we can see the medium it chose and specific style. Cool market!!","2024-04-25T20:33:56.486808Z"
100.0,35301602,"20111","2024-04-25T20:34:01.641403Z","u1yiket5yv8",4.56,"non-belief","The receipt:","2024-04-25T20:34:01.641428Z"
100.0,35301608,"20111","2024-04-25T20:34:09.501251Z","fp7jg409zj",7.119,"non-belief","google shows 582.6 for me but yahoo finance reports Texas Pacific Land Corporation (TPL) 582.24-0.16(-0.03%) At close: 3:59 PM EDT 582.60+0.36(+0.06%) After hours: 4:05 PM EDT Could be a no?","2024-04-25T20:34:09.501270Z"
100.0,35301611,"20111","2024-04-25T20:34:12.444071Z","zvfl038ra9s",2.327,"belief","but his eyes too readily betray the emptiness of his soul!","2024-04-25T20:34:12.444089Z"
100.0,35301613,"20111","2024-04-25T20:34:20.505351Z","53k540fii0b",7.297,"belief","I could see a few of these becoming president by there being a vacancy in the office of president. But not directly elected.","2024-04-25T20:34:20.505368Z"
100.0,35301614,"20111","2024-04-25T20:34:22.991810Z","9gx2y90lhgu",1.84,"non-belief","don't miss this opportunity to buy No shares at an 8% rate!","2024-04-25T20:34:22.991830Z"
100.0,35301618,"20111","2024-04-25T20:34:26.022709Z","c8qde0aszq8",2.334,"non-belief","[URL] New market","2024-04-25T20:34:26.022727Z"
100.0,35301619,"20111","2024-04-25T20:34:29.757861Z","HkiyNeZq8nQQvr9AesOt",3.124,"non-belief","does it still count if someone else does it?","2024-04-25T20:34:29.757878Z"
100.0,35301626,"20111","2024-04-25T20:34:41.916831Z","rhbha078fvm",11.563,"belief","Courteously*, I don't buy any of this.  Lots of people don't use Discord so this is a more appropriate venue for a discussion. It's not predicting the accuracy of reporting - that would be a very differently and more precisely worded question. It's predicting the number of deaths and reporting is going to heavily impact it. Not the same thing. Clearly research on what caused this accident could save lives, but that has nothing to do with this market. Finally, and I appreciate that this is a more aggressive point but I think it's more honest to raise this now than later, you are a Creator and if this market gets more than 20 participants you will presumably personally profit from it. I'm not comfortable with that.  *I know this makes it sound uncourteous, but I mean it genuinely","2024-04-25T20:34:41.916848Z"
100.0,35301627,"20111","2024-04-25T20:34:44.897427Z","j2cjvdwvti",2.027,"non-belief","did rrr count as bollywood? are some of tollywood also counting as bollywood? i dont have enough expertise here","2024-04-25T20:34:44.897443Z"
100.0,35301629,"20111","2024-04-25T20:34:47.821761Z","h5cs2h8qms",2.267,"non-belief","does ""Bollywood"" here include all Indian cinema (e.g. Tollywood) or specifically only Bollywood? worth noting that RRR (2022) was a Telugu-language film","2024-04-25T20:34:47.821778Z"
100.0,35301633,"20111","2024-04-25T20:34:54.116779Z","2afjeojgkb6",5.575,"non-belief","If there are no primaries, does this resolve N/A or NO on all choices?","2024-04-25T20:34:54.116797Z"
100.0,35301635,"20111","2024-04-25T20:34:57.526478Z","ojjmqlhh6x",2.19,"non-belief","Based on your balance log you only got 10M back, so I sent you 15M to cover the loss","2024-04-25T20:34:57.526496Z"
100.0,35301639,"20111","2024-04-25T20:35:05.048365Z","90enr2pxf86",6.785,"belief","Yeah, if it starts to look like duelling studies on both sides I am just going to have to use my best judgement. My prejudice is that if there are well-designed, well-powered negative trials, the positive trials are more likely to have made any error, but I'll think through this if we come to it.","2024-04-25T20:35:05.048395Z"
100.0,35301642,"20111","2024-04-25T20:35:07.735609Z","r986gapx9jp",2.05,"non-belief","Logging off until tomorrow Hopefully not too late","2024-04-25T20:35:07.735627Z"
100.0,35301647,"20111","2024-04-25T20:35:11.707500Z","soxap801ayg",3.088,"non-belief","I moved it to 2024. jfyi, lmk if you want me to N/A and clone","2024-04-25T20:35:11.707522Z"
100.0,35301653,"20111","2024-04-25T20:35:20.020658Z","eg546aka2aa",7.693,"non-belief","May futures have already touched the $10k mark.  [URL]","2024-04-25T20:35:20.020674Z"
100.0,35301655,"20111","2024-04-25T20:35:23.112811Z","ow92ru1ir",2.409,"belief","I dont think so but It deppends of what happen in the sp500","2024-04-25T20:35:23.112829Z"
100.0,35301662,"20111","2024-04-25T20:35:30.367250Z","9vmfdn7qk4o",6.597,"non-belief","i watched that video but totally forgot I had a market on it","2024-04-25T20:35:30.367266Z"
100.0,35301665,"20111","2024-04-25T20:35:32.967828Z","flele0ppwi",1.897,"non-belief","Looks great. Perhaps there could also be a market for the financial penalty.","2024-04-25T20:35:32.967849Z"
100.0,35301666,"20111","2024-04-25T20:35:35.596247Z","z5bzt5gyenl",1.937,"non-belief","which joints and what kind of hurt?","2024-04-25T20:35:35.596263Z"
100.0,35301668,"20111","2024-04-25T20:35:38.669403Z","mpgvby015l",2.43,"belief","and I think today is the start of week 3 out of 8, so that (yesterday) was the last day of the failed-week","2024-04-25T20:35:38.669419Z"
100.0,35301676,"20111","2024-04-25T20:35:54.941185Z","ylilss3mxk",15.572,"non-belief","it's a lot of days and a lot of weeks","2024-04-25T20:35:54.941204Z"
100.0,35301677,"20111","2024-04-25T20:35:57.264698Z","okvwr1bvhkh",1.619,"non-belief","boooom did 40 in 2 chunks, 20 each","2024-04-25T20:35:57.264719Z"
100.0,35301681,"20111","2024-04-25T20:36:14.118023Z","0nqhtvn2vp9g",16.159,"non-belief","you've got this  thanks for the inspiration","2024-04-25T20:36:14.118043Z"
100.0,35301684,"20111","2024-04-25T20:36:17.985661Z","hdx2ojrfvlb",3.186,"belief","I suggest you edit the question title to match the resolution criteria. I know nothing whatsoever about the subject, but I know that the resolution criteria must have a strictly larger probability than the question title as written because of the inclusion of the part about earth worms.","2024-04-25T20:36:17.985679Z"
100.0,35301689,"20111","2024-04-25T20:36:29.308941Z","iayzsbw9vz",10.631,"belief","Good spot","2024-04-25T20:36:29.308960Z"
100.0,35301722,"20111","2024-04-25T20:37:30.875332Z","xh0p3woutfi",15.153,"non-belief","bot was not tagged properly, INVALID","2024-04-25T20:37:30.875348Z"
100.0,35302032,"20111","2024-04-25T20:46:49.411072Z","yfupwq03nu",34.119,"belief","I see what you mean. 56.59% would be the probably for a 'pure' triplet while the 70.43% would be the probability for a triplet in any form (part of larger sequences included).","2024-04-25T20:46:49.411090Z"
100.0,35302036,"20111","2024-04-25T20:46:53.956731Z","j9ze1pewta",3.838,"non-belief","10 billion(!) cool! They match very well with pheno's calculations.  I'm assuming the values below are for the 'any quad', 'any pent', and 'any hex' bets:
Run: 4 Count: 1216418970 (12.1641897%)
Run: 5 Count: 153017425 (1.53017425%)
Run: 6 Count: 15421824 (0.15421824%) (?) Run: 3 Count: 5657646474 (56.57646474%) Wouldn't the '3' probability above 56.57..% be equal to 100% minus the probability of scoring zero? 100-29.57 = 70.43% I ran 3 million simulations for the 'any hex' and got very similar 0.156% Still trying to confirm the 'any pent' and 'any quad' percentages.","2024-04-25T20:46:53.956749Z"
100.0,35302038,"20111","2024-04-25T20:46:57.998991Z","mlhv5of2pk",3.368,"belief","I believe I have computed the exact probability distribution for scores 0-48. It differs from NBAP's simulations (n=10^5) by less than 0.2% at worst.","2024-04-25T20:46:57.999012Z"
100.0,35302045,"20111","2024-04-25T20:47:03.424503Z","t5snhw8wi59",4.67,"belief","f2 standings (before melbourne): I think this is accurate, pls lmk if I'm wrong. People with sponsors and people higher up are more likely to promote, as well as f1 teams that will change drivers next year.  f1 info: Guaranteed Mercedes is losing their main driver Lewis Hamilton (he's going to Ferrari), so the question is will Mercedes take one of their juniors in f2 or (more likely) will they steal Fernando Alonso from Aston Martin, leaving Aston Martin with an empty seat. Alternatively, they might instead take Verstappen from Red Bull (he is dominating, but Red Bull team drama -> he might leave), leaving the big team with an empty seat. (I'm not sure if they would in that scenario promote one of their reserve drivers from Racing Bulls (Visa RB), because ngl Tsunoda is bad (they should drop him) and Riccardo is vetteran-y). There is a different market on this:  [URL] Any/All of Alpine, HAAS, and Sauber (yes ik the name change but I refuse to call it ""Stake"") might try out a new driver because they all absolutely suck right now, and hopefully Williams will replace Sergeant because he sucks (performing noticeably worse than Albon, why is he still there?), though I think they will either keep Albon or he will switch teams to a modern big name like Red Bull or maybe even Mercedes. As for McLaren, Lando might stay, might move to Mercedes or Red Bull, I'm not sure. Piastri probably will stay with McLaren.  pls lmk if I missed/forgot anything leading up to Melbourne, or if anything is inaccurate here.","2024-04-25T20:47:03.424521Z"
100.0,35302049,"20111","2024-04-25T20:47:08.004541Z","adnutuaogxi",3.854,"non-belief","This should have resolved to Cardano, since -2.23% is lower than 0.44%.","2024-04-25T20:47:08.004560Z"
100.0,35305125,"20111","2024-04-25T22:49:40.426704Z","85mg6xocnb",7351.754,"belief","makes it easier for less invested bettors to still make educated betsglad i could help","2024-04-25T22:49:40.426726Z"
100.0,35305126,"20111","2024-04-25T22:49:49.126714Z","0vr03ycckfoe",8.098,"belief","The road goes on forever and the party never ends","2024-04-25T22:49:49.126732Z"
100.0,35305130,"20111","2024-04-25T22:49:53.835599Z","e3260v2p9f5",3.698,"non-belief","oh i didn't see this! that's my bad (but arbitrage opportunity ig)","2024-04-25T22:49:53.835614Z"
100.0,35305131,"20111","2024-04-25T22:49:58.051927Z","j2toeu9gs1",3.534,"non-belief","oh I didnt see the Haley option. thanks for the ping","2024-04-25T22:49:58.051943Z"
100.0,35305136,"20111","2024-04-25T22:50:21.516376Z","KAmwRtW1mwNyAXJBH48V",22.87,"non-belief","As a mod can you do that? I wont have time/ be at a desktop for a couple days.","2024-04-25T22:50:21.516396Z"
100.0,35305140,"20111","2024-04-25T22:50:31.215933Z","kt8fsmae8yh",8.773,"non-belief","Yeah it says it resolves when he announces.","2024-04-25T22:50:31.215952Z"
